product_id,product_type,brand,weight,price,average_units_sold,year_added,stock_location
1,Bakery,TopBrand,602.61 grams,11.0,15,,C
2,Produce,SilverLake,478.26,8.08,22,2022.0,C
3,Produce,TastyTreat,532.38 grams,6.16,21,2018.0,B
4,Bakery,StandardYums,453.43 grams,7.26,21,2021.0,d
5,Produce,GoldTree,588.63,7.88,21,2020.0,a
6,Meat,TopBrand,612.06,16.2,24,2017.0,a
7,Produce,GoldTree,320.49,8.01,21,2019.0,B
8,Meat,SilverLake,535.19 grams,15.77,28,2021.0,a
9,Meat,StandardYums,375.07 grams,11.57,30,2020.0,a
10,Meat,TastyTreat,506.34,13.94,27,2018.0,C
11,Dairy,StandardYums,345.07,9.26,26,2020.0,b
12,Bakery,StandardYums,345.58,6.87,21,2022.0,D
13,Snacks,SmoothTaste,512.54 grams,8.65,19,2016.0,A
14,Meat,StandardYums,395.76 grams,11.92,30,2019.0,A
15,Produce,SilverLake,324.92,7.94,23,2021.0,D
16,Dairy,SmoothTaste,446.76,10.79,23,2017.0,D
17,Snacks,TastyTreat,252.85 grams,7.71,18,2016.0,D
18,Produce,SilverLake,530.09 grams,8.24,22,2015.0,A
19,Meat,TastyTreat,459.59,13.62,26,2021.0,B
20,Dairy,GoldTree,360.76,13.03,22,2019.0,b
21,Produce,SmoothTaste,392.9,5.5,21,2015.0,D
22,Produce,GoldTree,440.03,8.18,21,,d
23,Dairy,GoldTree,533.58,13.07,22,2021.0,C
24,Dairy,SmoothTaste,565.26,10.98,23,2018.0,A
25,Dairy,SilverLake,633.95 grams,12.81,24,,A
26,Produce,TopBrand,471.68,8.11,19,2017.0,A
27,Bakery,TopBrand,333.58,10.85,14,2015.0,B
28,Dairy,TopBrand,328.38,13.01,20,2022.0,d
29,Produce,TopBrand,551.03,8.18,19,,B
30,Produce,StandardYums,644.38 grams,5.18,26,2020.0,b
31,Dairy,TopBrand,509.83 grams,13.11,20,2021.0,C
32,Produce,SilverLake,424.53,7.78,22,2018.0,A
33,Snacks,YumMie,445.79,6.49,18,2017.0,D
34,Produce,SilverLake,439.91 grams,8.24,22,2015.0,C
35,Bakery,StandardYums,452.56,7.25,20,2015.0,A
36,Snacks,SmoothTaste,506.53,8.48,19,2020.0,A
37,Snacks,YumMie,299.46,5.81,18,2018.0,B
38,Produce,GoldTree,465.35,7.87,21,2018.0,A
39,Snacks,StandardYums,508.59,5.88,22,2019.0,D
40,Produce,TopBrand,551.32,7.97,19,,A
41,Dairy,StandardYums,490.93 grams,8.63,27,,c
42,Dairy,SilverLake,433.51,12.56,24,2022.0,A
43,Produce,GoldTree,591.3 grams,8.15,21,2018.0,A
44,Produce,TopBrand,401.76,7.77,19,2022.0,a
45,Bakery,GoldTree,635.66 grams,11.1,16,2017.0,A
46,Produce,GoldTree,545.98,7.85,21,2015.0,C
47,Dairy,TopBrand,592.92,12.86,20,2022.0,d
48,Bakery,StandardYums,568.98,7.72,21,2015.0,A
49,Produce,GoldTree,391.65 grams,7.95,21,,A
50,Dairy,GoldTree,548.67,12.75,22,2022.0,C
51,Snacks,TopBrand,511.65,10.25,16,2021.0,B
52,Meat,SilverLake,499.27 grams,15.87,27,2019.0,B
53,Meat,TopBrand,602.08 grams,15.99,23,2021.0,B
54,Bakery,YumMie,559.66 grams,7.01,16,2015.0,c
55,Produce,GoldTree,364.23 grams,7.99,21,2017.0,A
56,Bakery,-,453.29,8.59,17,2021.0,b
57,Meat,SmoothTaste,568.01,14.37,26,2015.0,D
58,Dairy,SmoothTaste,642.23,11.11,23,2022.0,C
59,Snacks,TastyTreat,585.91,7.83,18,2016.0,A
60,Bakery,SilverLake,456.33,11.88,18,2019.0,b
61,Produce,SilverLake,506.62 grams,7.93,22,2018.0,D
62,Meat,GoldTree,503,16.09,26,2019.0,D
63,Produce,TastyTreat,623.82,5.98,21,2021.0,B
64,Dairy,StandardYums,485.63,8.37,26,2022.0,D
65,Meat,SilverLake,498.59,15.89,27,2015.0,B
66,Meat,SilverLake,471.61,15.87,27,2019.0,C
67,Produce,GoldTree,502.6 grams,8.16,21,2016.0,D
68,Bakery,StandardYums,493.22 grams,6.99,21,2015.0,A
69,Produce,SmoothTaste,517.17,5.79,22,2019.0,D
70,Produce,SmoothTaste,353.63,5.72,22,2021.0,b
71,Meat,TopBrand,460.38,15.78,23,2016.0,D
72,Bakery,SmoothTaste,407.58,9.58,17,2018.0,C
73,Snacks,TastyTreat,509.69,8.21,18,2021.0,b
74,Produce,GoldTree,591.88 grams,8.1,21,2022.0,A
75,Produce,SmoothTaste,392.47,5.66,22,2020.0,B
76,Produce,SmoothTaste,429.28,5.61,22,2020.0,A
77,Meat,GoldTree,593.72 grams,16.34,25,2021.0,A
78,Produce,SmoothTaste,330.45 grams,6.1,22,2017.0,B
79,Dairy,SilverLake,469.69,12.86,23,2019.0,D
80,Meat,TopBrand,589.84 grams,16.03,24,2016.0,c
81,Bakery,YumMie,401.34 grams,6.85,16,2019.0,a
82,Meat,SilverLake,307.33,16.11,28,,B
83,Snacks,TastyTreat,469.84,8.31,18,2016.0,D
84,Meat,SmoothTaste,484.47 grams,14.63,26,2017.0,D
85,Bakery,TopBrand,406.6 grams,10.91,14,2020.0,B
86,Snacks,TastyTreat,597.46 grams,8.23,18,,D
87,Bakery,TopBrand,428.52,11.05,15,2018.0,a
88,Bakery,TastyTreat,591.73,8.38,16,2018.0,D
89,Produce,GoldTree,482.56,7.94,21,2016.0,b
90,Meat,SmoothTaste,480.59 grams,14.64,27,2019.0,c
91,Meat,SmoothTaste,533.11,13.58,26,2020.0,c
92,Bakery,StandardYums,494.64,6.87,21,2019.0,A
93,Bakery,StandardYums,515.04,6.77,22,2017.0,B
94,Produce,GoldTree,422.15 grams,8.2,21,2020.0,c
95,Produce,GoldTree,656.56,7.98,21,2019.0,D
96,Bakery,StandardYums,512.91 grams,7.24,21,2020.0,d
97,Meat,TastyTreat,446.41 grams,13.84,26,2021.0,C
98,Dairy,GoldTree,806.33 grams,13.14,22,2019.0,c
99,Snacks,YumMie,423.91 grams,6.4,18,2017.0,B
100,Bakery,StandardYums,505.7,6.6,21,,a
101,Bakery,TastyTreat,410.06,10.11,17,2022.0,b
102,Dairy,TastyTreat,576.97,11.12,22,2017.0,C
103,Produce,GoldTree,485.66,7.96,21,2019.0,D
104,Bakery,TastyTreat,581.52 grams,8.95,17,2020.0,A
105,Bakery,YumMie,487.64,6.87,16,2020.0,A
106,Dairy,SmoothTaste,624.07 grams,10.81,23,2021.0,B
107,Produce,SilverLake,583.44 grams,7.95,22,2022.0,A
108,Meat,TopBrand,755.03 grams,15.77,23,2020.0,B
109,Snacks,StandardYums,500.94 grams,5.74,22,2015.0,B
110,Produce,SilverLake,435.41,8.01,22,2015.0,D
111,Bakery,StandardYums,421.84,8.11,21,2018.0,A
112,Produce,TopBrand,439.22,8.1,19,2017.0,B
113,Meat,TastyTreat,541.37,14.4,26,2021.0,D
114,Produce,SilverLake,348.91 grams,7.58,23,2021.0,b
115,Dairy,SmoothTaste,635.72,11.06,23,2016.0,B
116,Dairy,StandardYums,473.15,8.87,26,2022.0,B
117,Bakery,StandardYums,315.15,6.58,20,2021.0,a
118,Bakery,SmoothTaste,533.97,8.75,18,2017.0,B
119,Bakery,TopBrand,551.27 grams,11.14,15,2022.0,B
120,Bakery,SmoothTaste,499.26 grams,8.53,17,2017.0,C
121,Snacks,TastyTreat,326.76,8.36,18,2016.0,D
122,Produce,TopBrand,582.3,8.01,19,2016.0,D
123,Dairy,GoldTree,409.23 grams,12.9,22,2018.0,B
124,Meat,GoldTree,657.51,15.87,26,2015.0,A
125,Dairy,SilverLake,710.8 grams,12.84,23,,a
126,Dairy,SmoothTaste,597.98,11.72,24,2019.0,C
127,Snacks,TopBrand,531.5 grams,10.12,16,,C
128,Produce,GoldTree,458.33,8.01,21,,B
129,Meat,StandardYums,445.3,11.48,30,,A
130,Produce,SmoothTaste,547.81,6.17,22,2020.0,D
131,Produce,StandardYums,614.52,6.52,25,,B
132,Produce,TastyTreat,608.52 grams,5.68,21,2017.0,c
133,Bakery,TastyTreat,549.72,9.62,19,2022.0,D
134,Produce,TopBrand,411.78,7.95,19,,B
135,Produce,TopBrand,442.41,8.14,19,2019.0,D
136,Snacks,StandardYums,638.43,6.02,22,2018.0,B
137,Meat,GoldTree,458.59,16.1,25,2016.0,B
138,Meat,StandardYums,541.56,11.79,31,2018.0,A
139,Bakery,SilverLake,560.36 grams,10.95,18,2016.0,C
140,Meat,TopBrand,595.01 grams,16.05,24,,A
141,Dairy,TopBrand,488.82,12.82,20,2016.0,A
142,Produce,GoldTree,601.69,8.08,21,2015.0,A
143,Produce,SilverLake,449.25,7.61,23,2022.0,C
144,Bakery,GoldTree,654.94,10.98,16,2017.0,c
145,Bakery,SilverLake,463.26,10.99,18,2018.0,C
146,Produce,TopBrand,234.22,8.0,19,2016.0,A
147,Snacks,StandardYums,545.98,6.37,23,2016.0,B
148,Bakery,TastyTreat,741.56,8.82,17,2020.0,D
149,Meat,GoldTree,530.92,16.12,25,2016.0,a
150,Snacks,StandardYums,540.12 grams,5.98,22,2020.0,A
151,Dairy,StandardYums,453.82,8.81,26,2017.0,D
152,Dairy,GoldTree,650.92,13.0,22,2017.0,C
153,Bakery,SilverLake,420.81,10.7,18,,A
154,Meat,SilverLake,650.06,16.98,27,,D
155,Produce,SilverLake,632.29,8.17,22,2017.0,B
156,Bakery,YumMie,454.11,7.19,16,2020.0,D
157,Produce,GoldTree,565.97,7.98,21,2021.0,D
158,Bakery,TopBrand,609.17,10.76,14,2022.0,A
159,Snacks,GoldTree,577.48,10.14,18,2015.0,d
160,Dairy,SilverLake,661.41,13.41,24,2016.0,d
161,Dairy,SmoothTaste,564.98,11.54,23,2019.0,A
162,Produce,GoldTree,600.46,7.86,21,2015.0,C
163,Meat,StandardYums,504.4 grams,12.05,30,2018.0,B
164,Bakery,TastyTreat,595.32 grams,8.85,17,2017.0,C
165,Meat,StandardYums,455.37,12.89,30,2020.0,A
166,Dairy,GoldTree,521.69,13.17,22,2018.0,C
167,Bakery,StandardYums,554.1,7.38,21,,c
168,Produce,GoldTree,604.41,8.1,21,2018.0,A
169,Snacks,YumMie,419,6.11,17,2019.0,a
170,Bakery,GoldTree,387.4,10.97,16,2022.0,d
171,Dairy,GoldTree,397.03,12.9,22,2016.0,A
172,Dairy,TopBrand,603.34,12.87,20,2019.0,D
173,Dairy,StandardYums,429.66,8.91,27,2020.0,A
174,Produce,SmoothTaste,413.13,5.63,22,2021.0,D
175,Meat,GoldTree,536.63,16.09,25,2019.0,a
176,Meat,SilverLake,558.29,15.81,27,2020.0,a
177,Meat,TopBrand,528.11,16.15,24,2018.0,A
178,Bakery,TastyTreat,569.66,8.91,16,2022.0,B
179,Produce,SilverLake,600.9,7.91,23,2020.0,D
180,Snacks,StandardYums,482.07,5.2,22,,D
181,Snacks,TopBrand,627.31,10.17,16,2019.0,D
182,Meat,SmoothTaste,543.14,13.88,26,2018.0,A
183,Produce,GoldTree,485.16,7.92,21,2020.0,B
184,Produce,GoldTree,594.13,7.9,21,2015.0,c
185,Dairy,SilverLake,519.19,12.88,23,2016.0,A
186,Produce,TopBrand,553.51 grams,7.98,19,2017.0,b
187,Meat,GoldTree,609.9,15.81,25,2019.0,A
188,Produce,SilverLake,725.64,7.82,22,2017.0,c
189,Meat,StandardYums,311.86,12.92,31,2021.0,C
190,Snacks,TastyTreat,458.84,8.49,18,2021.0,D
191,Dairy,SilverLake,360.63 grams,13.05,24,2016.0,b
192,Meat,SmoothTaste,468.48,14.28,28,2015.0,b
193,Produce,GoldTree,438.48 grams,7.84,21,2022.0,A
194,Produce,TastyTreat,414.27 grams,6.5,21,2021.0,C
195,Produce,SmoothTaste,427.73 grams,6.25,22,,B
196,Produce,TopBrand,594.65,7.99,19,2020.0,B
197,Dairy,TopBrand,431.35,12.75,20,2019.0,C
198,Meat,StandardYums,467.09,12.32,30,2017.0,B
199,Meat,SilverLake,485.88 grams,15.66,27,2021.0,B
200,Bakery,YumMie,614.85,7.36,16,2016.0,c
201,Meat,SilverLake,655.35,16.84,27,2016.0,A
202,Bakery,StandardYums,549.45 grams,6.95,20,2018.0,A
203,Snacks,TastyTreat,543.53 grams,7.92,18,2020.0,D
204,Produce,GoldTree,423.83,7.95,21,2016.0,B
205,Produce,GoldTree,481.88 grams,7.98,21,2019.0,C
206,Meat,GoldTree,624.79,16.02,25,,c
207,Meat,SilverLake,582.62,16.04,27,2019.0,C
208,Bakery,TastyTreat,384.7,8.73,18,2015.0,a
209,Bakery,TopBrand,581.73,11.03,14,2017.0,A
210,Bakery,TastyTreat,496.91 grams,9.48,16,2021.0,d
211,Bakery,StandardYums,252.9,6.74,22,2016.0,D
212,Dairy,TastyTreat,507.73,11.09,22,2020.0,A
213,Meat,TopBrand,588.49,16.59,24,2019.0,b
214,Snacks,YumMie,408.17,6.23,18,2019.0,b
215,Bakery,TopBrand,425.42,10.85,14,2017.0,A
216,Dairy,SilverLake,417.85,13.33,23,2015.0,D
217,Meat,SilverLake,607.39,15.97,27,2016.0,A
218,Produce,StandardYums,415.5 grams,4.47,27,2020.0,C
219,Dairy,TastyTreat,541.84,10.86,22,2017.0,a
220,Produce,GoldTree,586.86 grams,8.0,21,2018.0,C
221,Bakery,YumMie,427.91,7.1,16,2019.0,A
222,Produce,SmoothTaste,450.57 grams,5.56,21,2022.0,D
223,Bakery,TopBrand,643.81 grams,10.99,14,2019.0,a
224,Produce,TopBrand,508.29,8.5,19,2015.0,c
225,Bakery,SmoothTaste,598.32,8.61,17,2019.0,C
226,Bakery,SmoothTaste,462.24 grams,9.19,17,2018.0,b
227,Dairy,SilverLake,538.99,13.43,23,2015.0,b
228,Bakery,TastyTreat,520.67,8.78,17,2018.0,A
229,Meat,YumMie,420.59 grams,12.04,25,2021.0,B
230,Bakery,StandardYums,380.11 grams,6.72,21,2022.0,B
231,Produce,StandardYums,389.4 grams,3.91,25,2021.0,A
232,Meat,GoldTree,481.55,16.01,25,2021.0,A
233,Produce,SilverLake,367.84,7.58,23,2017.0,c
234,Dairy,SmoothTaste,331.19,11.06,23,2021.0,a
235,Bakery,SmoothTaste,557.87,9.57,18,2021.0,B
236,Produce,SilverLake,652.71,7.91,22,2021.0,D
237,Produce,SmoothTaste,634.98,5.76,22,2022.0,D
238,Dairy,TopBrand,623.76,12.64,20,2022.0,D
239,Produce,GoldTree,388.75 grams,7.98,21,2016.0,A
240,Meat,SmoothTaste,586.92,13.75,27,2022.0,C
241,Dairy,TopBrand,532.7,13.36,21,2017.0,d
242,Meat,TastyTreat,379.44,14.12,25,2022.0,c
243,Snacks,TopBrand,483.09,9.95,16,2022.0,B
244,Produce,GoldTree,534.95 grams,7.82,21,2020.0,a
245,Bakery,TastyTreat,313.71,8.51,17,2015.0,B
246,Meat,GoldTree,667.53 grams,15.84,25,,A
247,Bakery,GoldTree,608.96,11.03,16,,B
248,Dairy,SilverLake,406.22 grams,13.01,24,2019.0,D
249,Dairy,StandardYums,592.29 grams,10.16,27,2020.0,A
250,Dairy,TastyTreat,436.55 grams,11.17,22,2022.0,b
251,Produce,TastyTreat,403.38,5.53,21,2021.0,b
252,Produce,StandardYums,314.33,3.89,25,,D
253,Produce,SilverLake,548.44,8.05,23,2019.0,d
254,Meat,TastyTreat,515.32,14.02,26,2019.0,D
255,Produce,GoldTree,554.99 grams,7.86,21,2019.0,C
256,Meat,TopBrand,545.09,16.02,24,2021.0,b
257,Produce,-,425.05,7.87,23,2016.0,A
258,Meat,GoldTree,385.64,16.12,26,2017.0,C
259,Dairy,SmoothTaste,410.5,11.49,23,2015.0,B
260,Bakery,GoldTree,500.71,11.0,16,2020.0,a
261,Dairy,TastyTreat,565.03 grams,10.51,22,2018.0,D
262,Snacks,TastyTreat,516.43 grams,7.74,19,2017.0,D
263,Meat,TastyTreat,581.49,14.39,26,2018.0,b
264,Meat,TopBrand,669.59 grams,15.88,24,2020.0,C
265,Bakery,TastyTreat,537.19 grams,9.14,17,2019.0,D
266,Dairy,TastyTreat,498.14,10.94,22,2021.0,A
267,Produce,SmoothTaste,417.58,5.56,22,,a
268,Bakery,StandardYums,579.37,7.06,21,2016.0,a
269,Produce,YumMie,538.12,4.08,21,2021.0,c
270,Dairy,StandardYums,409.56,8.43,26,2022.0,b
271,Meat,TopBrand,440.14,16.08,23,2021.0,B
272,Produce,SmoothTaste,562.68,6.29,21,2018.0,A
273,Produce,TastyTreat,331.87 grams,5.77,22,2019.0,b
274,Meat,GoldTree,461.45,16.07,26,2022.0,C
275,Dairy,SmoothTaste,358.22,11.1,23,,a
276,Snacks,SmoothTaste,539.47,9.05,19,2020.0,C
277,Bakery,TastyTreat,411.67,10.44,17,2020.0,B
278,Produce,SmoothTaste,493.42,5.96,22,2015.0,D
279,Bakery,TopBrand,482.86,10.74,14,2019.0,A
280,Meat,StandardYums,431.98 grams,12.26,30,,B
281,Produce,SmoothTaste,460.94 grams,5.9,23,2015.0,A
282,Bakery,GoldTree,475.33,11.17,16,2022.0,D
283,Produce,SilverLake,680.89 grams,7.95,23,2019.0,a
284,Produce,SilverLake,573.37,7.83,23,2017.0,D
285,Snacks,TastyTreat,591.22,8.09,18,2016.0,B
286,Bakery,TopBrand,601.96,11.02,14,2015.0,C
287,Dairy,SilverLake,726.95,13.37,23,2015.0,D
288,Bakery,SmoothTaste,540.2,9.74,17,2022.0,D
289,Meat,GoldTree,584.94 grams,16.22,25,2022.0,B
290,Bakery,TastyTreat,480.79,9.19,17,2020.0,b
291,Meat,TastyTreat,537.87,13.6,26,2016.0,a
292,Meat,TastyTreat,390.76 grams,15.27,26,2017.0,D
293,Dairy,YumMie,697.9,9.07,22,2021.0,B
294,Bakery,TastyTreat,456.77,9.3,18,2022.0,B
295,Bakery,GoldTree,528.46,11.1,16,2022.0,A
296,Dairy,SilverLake,470.47,12.86,23,,b
297,Meat,StandardYums,497.55,11.86,30,2015.0,B
298,Snacks,TastyTreat,442.93 grams,8.19,18,2016.0,B
299,Snacks,YumMie,477.15,5.86,18,,c
300,Dairy,TastyTreat,458.44,10.75,23,2018.0,A
301,Meat,SmoothTaste,595.67,14.24,27,2018.0,c
302,Bakery,TastyTreat,472.99,9.18,17,,c
303,Meat,StandardYums,378.89,11.95,30,2015.0,D
304,Produce,StandardYums,471.03 grams,4.22,25,,c
305,Bakery,TastyTreat,530.72 grams,8.96,16,2021.0,b
306,Bakery,TopBrand,525.13 grams,10.8,14,2021.0,D
307,Meat,StandardYums,605.06,12.52,31,2022.0,b
308,Dairy,YumMie,577.78,8.95,22,,B
309,Produce,GoldTree,606.12,8.09,21,2022.0,D
310,Meat,TopBrand,649.15 grams,16.15,24,2015.0,a
311,Bakery,StandardYums,608.32,6.87,20,2019.0,C
312,Dairy,SilverLake,481.37,12.85,24,2018.0,C
313,Dairy,StandardYums,467.57,8.97,26,2022.0,d
314,Dairy,TastyTreat,592.27 grams,11.15,22,2015.0,b
315,Produce,GoldTree,579.97,7.97,21,2018.0,C
316,Produce,GoldTree,541.7,7.84,21,,D
317,Bakery,StandardYums,570.87,6.69,21,2022.0,C
318,Dairy,StandardYums,317.4,8.93,26,2020.0,D
319,Meat,GoldTree,548.89 grams,16.17,26,2017.0,d
320,Produce,GoldTree,440.09,8.02,21,2022.0,A
321,Meat,SmoothTaste,390.28 grams,14.26,26,2015.0,d
322,Produce,SmoothTaste,530.01,5.97,22,2019.0,c
323,Produce,SilverLake,431.25,8.25,23,2019.0,A
324,Produce,SilverLake,473.15,7.93,22,2018.0,B
325,Meat,GoldTree,639.9 grams,16.01,26,,C
326,Produce,TopBrand,370.59,8.46,19,2015.0,D
327,Meat,TopBrand,512.69,15.88,24,,b
328,Meat,GoldTree,478.59 grams,16.12,26,2015.0,A
329,Produce,TopBrand,462.55,8.1,19,2016.0,b
330,Bakery,StandardYums,375.21,6.95,21,2022.0,C
331,Produce,-,391.71,8.09,21,2021.0,B
332,Dairy,TastyTreat,461.98,11.13,22,2015.0,C
333,Meat,StandardYums,516.59,11.85,30,2020.0,B
334,Produce,TopBrand,658.41,8.0,18,2018.0,A
335,Meat,GoldTree,392.56,15.91,25,2017.0,D
336,Produce,TopBrand,448.65,7.98,19,2017.0,c
337,Dairy,GoldTree,580.48,12.99,22,2021.0,D
338,Bakery,TopBrand,559.48,11.11,15,2018.0,B
339,Bakery,TopBrand,317.57,11.26,15,2022.0,a
340,Meat,GoldTree,722.01,16.09,25,2022.0,c
341,Dairy,TopBrand,417.19,13.12,20,2017.0,d
342,Dairy,YumMie,494.42,8.83,22,2021.0,A
343,Produce,GoldTree,526.8,8.33,21,2019.0,A
344,Bakery,TopBrand,389.96 grams,10.77,14,2021.0,C
345,Dairy,TastyTreat,512.44,11.0,23,2015.0,B
346,Produce,GoldTree,767.9,8.05,21,2022.0,C
347,Produce,SilverLake,448.58,8.78,22,2020.0,C
348,Dairy,StandardYums,559.85,8.73,27,2017.0,C
349,Meat,TopBrand,551.94,15.62,23,2019.0,C
350,Bakery,TopBrand,457.15 grams,10.87,14,2022.0,C
351,Produce,TastyTreat,549.93,6.0,21,2015.0,A
352,Produce,TopBrand,488.93,7.91,19,,C
353,Bakery,SmoothTaste,468.71,8.51,17,2019.0,C
354,Dairy,SilverLake,412.62,13.06,24,2021.0,d
355,Produce,SilverLake,465.21 grams,7.8,23,2020.0,c
356,Meat,SilverLake,600.58 grams,15.98,27,2020.0,b
357,Meat,StandardYums,502.55,12.71,30,2018.0,C
358,Meat,TopBrand,501.26,15.8,23,2022.0,B
359,Bakery,TastyTreat,552,8.84,17,2018.0,B
360,Bakery,TastyTreat,480.81 grams,9.1,16,2020.0,A
361,Meat,GoldTree,631.67,15.99,26,2016.0,C
362,Meat,GoldTree,421.2 grams,15.89,26,2016.0,b
363,Produce,GoldTree,547.56,7.93,21,2020.0,C
364,Dairy,StandardYums,558.27,8.57,26,2022.0,d
365,Dairy,SilverLake,484.54,12.74,23,2022.0,D
366,Bakery,GoldTree,474.07 grams,11.15,16,,B
367,Bakery,StandardYums,477.89,7.12,22,2019.0,b
368,Produce,-,543.87,7.96,21,2015.0,D
369,Dairy,TastyTreat,483.28 grams,10.9,23,2017.0,A
370,Snacks,TastyTreat,592.79,7.6,19,2015.0,D
371,Dairy,-,360.31 grams,10.41,22,2022.0,B
372,Produce,GoldTree,514.04,7.91,21,2015.0,B
373,Produce,SilverLake,472.55 grams,8.07,22,2020.0,A
374,Produce,SmoothTaste,339.33,6.24,21,2017.0,C
375,Bakery,TopBrand,583.26 grams,11.38,14,2018.0,A
376,Bakery,SmoothTaste,505.65,9.39,17,2021.0,B
377,Dairy,YumMie,334.73,9.16,22,2021.0,c
378,Bakery,YumMie,640.7 grams,6.92,16,2021.0,D
379,Produce,GoldTree,594.87 grams,8.02,21,,A
380,Dairy,SilverLake,644.56,12.83,24,,D
381,Produce,GoldTree,542.83 grams,7.89,21,2019.0,B
382,Bakery,GoldTree,650.76,11.05,16,2016.0,b
383,Produce,SilverLake,374.59 grams,7.71,22,2020.0,C
384,Dairy,StandardYums,504.26,9.25,28,2016.0,B
385,Meat,SmoothTaste,541.26 grams,13.56,27,2015.0,D
386,Bakery,StandardYums,487.71,7.16,21,2021.0,B
387,Dairy,SilverLake,622.05 grams,13.08,23,2022.0,A
388,Produce,GoldTree,522.61,7.81,21,2018.0,D
389,Bakery,StandardYums,495.55 grams,6.79,21,2015.0,B
390,Meat,SilverLake,602.26 grams,16.06,27,2020.0,D
391,Bakery,StandardYums,513.38,6.94,21,2022.0,a
392,Bakery,StandardYums,329.37 grams,6.96,20,,B
393,Dairy,GoldTree,380.7 grams,12.81,22,2016.0,B
394,Dairy,SmoothTaste,438.29,10.77,22,2020.0,c
395,Meat,SilverLake,684.24,16.05,27,2021.0,C
396,Bakery,SmoothTaste,354.76,9.38,17,2015.0,A
397,Produce,TopBrand,546.21,8.47,19,2021.0,A
398,Produce,GoldTree,396.13 grams,7.76,21,2016.0,A
399,Produce,TastyTreat,544.35,5.65,21,,c
400,Dairy,SilverLake,551.36,12.68,23,2019.0,C
401,Dairy,GoldTree,411.33,12.95,22,2016.0,D
402,Bakery,StandardYums,538.06,6.94,21,2017.0,B
403,Snacks,GoldTree,435.62 grams,9.99,18,2017.0,C
404,Snacks,TopBrand,700.35 grams,9.84,16,2018.0,b
405,Produce,SilverLake,463.19,7.87,23,2020.0,D
406,Bakery,SmoothTaste,503.79 grams,8.57,17,2020.0,B
407,Produce,-,506.11,8.53,23,2021.0,A
408,Bakery,TastyTreat,529.89,8.79,17,2021.0,B
409,Bakery,GoldTree,338.54,10.78,16,2022.0,c
410,Produce,TopBrand,598.44 grams,8.03,19,2018.0,D
411,Snacks,SilverLake,301.83,10.24,19,2018.0,A
412,Snacks,StandardYums,461.92,5.81,22,2019.0,A
413,Dairy,SilverLake,431.07,12.82,23,2016.0,A
414,Bakery,StandardYums,406.05,6.92,21,2017.0,A
415,Produce,SilverLake,287.1,8.63,22,2015.0,d
416,Produce,TastyTreat,435.19,5.76,21,2016.0,d
417,Bakery,SmoothTaste,390.88 grams,8.82,18,2021.0,A
418,Bakery,SmoothTaste,715.17,8.69,17,2019.0,c
419,Dairy,GoldTree,580.42,12.84,22,2022.0,B
420,Meat,SilverLake,693.59,16.01,27,2018.0,B
421,Bakery,SilverLake,650.79,10.74,18,2021.0,d
422,Dairy,TopBrand,233.93,12.99,20,2019.0,D
423,Snacks,YumMie,489.53,6.19,18,2021.0,C
424,Produce,GoldTree,480.8 grams,8.01,21,2022.0,b
425,Bakery,SilverLake,604.57,11.19,18,2019.0,c
426,Snacks,YumMie,517.98,6.14,18,2022.0,C
427,Bakery,TopBrand,421,11.68,15,,b
